symbol,name,image,current_price,market_cap,market_cap_rank,total_volume,circulating_supply,total_supply,ath,ath_change_percentage,ath_date,atl,atl_change_percentage,atl_date,ath_year,ath_month,atl_year,atl_month
usdc,Binance Bridged USDC (BNB Smart Chain),https://coin-images.coingecko.com/coins/images/35220/large/USDC.jpg?1707919050,1,1140052809,101,507377753,1138999880,1138999880,1,-2.99979,2024-03-05 20:15:29.285000+00:00,1,6.07058,2024-12-05 22:30:25.440000+00:00,2024,3,2024,12
jup,Jupiter,https://coin-images.coingecko.com/coins/images/34188/large/jup.png?1704266489,0,1121150662,102,73393008,3218688889,6999010191,2,-82.60214,2024-01-31 15:02:47.304000+00:00,0,63.7699,2025-10-10 21:28:07.176000+00:00,2024,1,2025,10
solvbtc,Solv Protocol BTC,https://coin-images.coingecko.com/coins/images/36800/large/solvBTC.png?1719810684,102675,1040639747,103,733887,10143,10143,125693,-18.36445,2025-10-06 17:25:17.426000+00:00,49058,109.16196,2024-08-05 06:28:45.311000+00:00,2025,10,2024,8
nexo,NEXO,https://coin-images.coingecko.com/coins/images/3695/large/CG-nexo-token-200x200_2x.png?1730414360,1,1036649661,104,29471432,1000000000,1000000000,4,-74.58619,2021-05-12 14:37:47.535000+00:00,0,2189.61891,2018-09-13 00:00:00+00:00,2021,5,2018,9
ezeth,Renzo Restaked ETH,https://coin-images.coingecko.com/coins/images/34753/large/Ezeth_logo_circle.png?1713496404,3551,1025632603,105,2928926,289679,289679,5227,-31.97093,2025-08-24 19:25:30.766000+00:00,1454,144.48897,2025-04-09 01:30:57.856000+00:00,2025,8,2025,4
rlusd,Ripple USD,https://coin-images.coingecko.com/coins/images/39651/large/RLUSD_200x200_%281%29.png?1727376633,1,1025151062,106,266644464,1025198083,1025198083,1,-6.78744,2024-12-26 10:45:52.337000+00:00,1,3.91869,2024-12-18 04:40:40.880000+00:00,2024,12,2024,12
sei,Sei,https://coin-images.coingecko.com/coins/images/28205/large/Sei_Logo_-_Transparent.png?1696527207,0,1018924475,107,157216178,6248888888,10000000000,1,-85.71615,2024-03-16 02:30:23.904000+00:00,0,70.71008,2023-10-19 08:05:30.655000+00:00,2024,3,2023,10
usdg,Global Dollar,https://coin-images.coingecko.com/coins/images/51281/large/GDN_USDG_Token_200x200.png?1730484111,1,1011642365,108,55693789,1011923644,1006723644,2,-39.57756,2025-01-30 00:11:05.728000+00:00,1,10.15222,2024-11-11 23:55:50.604000+00:00,2025,1,2024,11
render,Render,https://coin-images.coingecko.com/coins/images/11636/large/rndr.png?1696511529,2,994723842,109,106712056,518584616,533344789,14,-85.8665,2024-03-17 16:30:24.636000+00:00,0,5118.49206,2020-06-16 13:22:25.900000+00:00,2024,3,2020,6
fdusd,First Digital USD,https://coin-images.coingecko.com/coins/images/31079/large/FDUSD_icon_black.png?1731097953,1,992686574,110,8050391556,991171534,991171534,1,-13.01472,2025-02-03 02:30:49.959000+00:00,1,6.49875,2024-12-05 22:30:51.394000+00:00,2025,2,2024,12
bonk,Bonk,https://coin-images.coingecko.com/coins/images/28600/large/bonk.jpg?1696527587,0,991968731,111,236559435,82109641888729,87995306132851,0,-79.30247,2024-11-20 04:01:06.465000+00:00,0,13895.82096,2022-12-29 22:48:46.755000+00:00,2024,11,2022,12
fil,Filecoin,https://coin-images.coingecko.com/coins/images/12817/large/filecoin.png?1696512609,1,955966073,112,233214642,706418290,1958837435,237,-99.4304,2021-04-01 13:29:41.564000+00:00,1,59.0805,2025-10-10 21:26:46.200000+00:00,2021,4,2025,10
pengu,Pudgy Penguins,https://coin-images.coingecko.com/coins/images/52622/large/PUDGY_PENGUINS_PENGU_PFP.png?1733809110,0,946653357,113,362155090,62860396090,79696577351,0,-77.97463,2024-12-17 13:05:22.873000+00:00,0,305.78625,2025-04-09 01:31:57.832000+00:00,2024,12,2025,4
xdc,XDC Network,https://coin-images.coingecko.com/coins/images/2912/large/xdc-icon.png?1696503661,0,903747566,114,59076016,17755356067,38030934057,0,-73.69824,2021-08-21 04:39:48.324000+00:00,0,12724.54276,2019-07-22 00:00:00+00:00,2021,8,2019,7
virtual,Virtuals Protocol,https://coin-images.coingecko.com/coins/images/34057/large/LOGOMARK.png?1708356054,1,888369297,115,386242637,656082021,1000000000,5,-73.268,2025-01-02 06:15:38.599000+00:00,0,17986.71906,2024-01-23 20:55:21.653000+00:00,2025,1,2024,1
ftn,Fasttoken,https://coin-images.coingecko.com/coins/images/28478/large/lightenicon_200x200.png?1696527472,2,872364062,116,22187868,433584830,870742437,5,-56.35011,2025-07-27 09:55:16.106000+00:00,0,405.12638,2023-01-21 10:15:39.503000+00:00,2025,7,2023,1
ustb,Superstate Short Duration U.S. Government Securities Fund (USTB),https://coin-images.coingecko.com/coins/images/35012/large/ustb.jpeg?1707102680,11,867157669,117,0,79691452,79665451,11,0.0,2025-11-05 14:20:05.647000+00:00,10,5.73995,2025-02-26 09:55:09.261000+00:00,2025,11,2025,2
morpho,Morpho,https://coin-images.coingecko.com/coins/images/29837/large/Morpho-token-icon.png?1726771230,2,862197411,118,59295025,524409268,1000000000,4,-60.64075,2025-01-17 12:46:19.818000+00:00,1,130.17832,2024-11-25 01:55:43.353000+00:00,2025,1,2024,11
meth,Mantle Staked Ether,https://coin-images.coingecko.com/coins/images/33345/large/symbol_transparent_bg.png?1701697066,3603,839054926,119,6700479,232044,232044,5313,-31.80904,2025-08-24 19:26:54.562000+00:00,1486,143.8498,2025-04-09 01:32:38.082000+00:00,2025,8,2025,4
wbtc,Arbitrum Bridged WBTC (Arbitrum One),https://coin-images.coingecko.com/coins/images/39532/large/wbtc.png?1722810336,103072,828685474,120,297701032,8057,8057,126226,-18.22744,2025-10-06 19:06:49.202000+00:00,49594,108.1264,2024-08-05 13:30:13.831000+00:00,2025,10,2024,8
imx,Immutable,https://coin-images.coingecko.com/coins/images/17233/large/immutableX-symbol-BLK-RGB.png?1696516787,0,827246186,121,30683640,1964455307,2000000000,10,-95.59852,2021-11-26 01:03:01.536000+00:00,0,25.30007,2025-10-10 21:28:36.503000+00:00,2021,11,2025,10
usyc,Circle USYC,https://coin-images.coingecko.com/coins/images/51054/large/Hashnote_SDYC_200x200.png?1730370965,1,813230097,122,1,897923902,897923902,1,-1.11359,2025-03-04 19:26:50.778000+00:00,1,7.62901,2024-12-05 22:31:20.475000+00:00,2025,3,2024,12
clbtc,clBTC,https://coin-images.coingecko.com/coins/images/54164/large/clBTC.png?1738482999,102725,793367017,123,57,7723,7723,129190,-20.48509,2025-07-24 19:16:34.717000+00:00,51493,99.49361,2025-04-21 12:36:24.067000+00:00,2025,7,2025,4
ousg,OUSG,https://coin-images.coingecko.com/coins/images/29023/large/OUSG.png?1696527993,113,782643835,124,0,6915311,6915311,113,0.0,2025-11-04 22:00:05.272000+00:00,95,19.01862,2023-03-22 20:00:17.106000+00:00,2025,11,2023,3
cake,PancakeSwap,https://coin-images.coingecko.com/coins/images/12632/large/pancakeswap-cake-logo_%281%29.png?1696512440,2,768215206,125,186755761,342946972,357314803,44,-94.91169,2021-04-30 10:08:22.934000+00:00,0,1050.50914,2020-11-03 14:29:34.165000+00:00,2021,4,2020,11
jupsol,Jupiter Staked SOL,https://coin-images.coingecko.com/coins/images/37482/large/jupsol.png?1714473916,182,758655335,126,15055439,4185456,4185456,310,-41.37865,2025-01-19 11:22:28.048000+00:00,106,71.73659,2025-04-07 07:01:06.676000+00:00,2025,1,2025,4
aero,Aerodrome Finance,https://coin-images.coingecko.com/coins/images/31745/large/token.png?1696530564,1,755436532,127,89147002,900462781,1776330407,2,-63.86593,2024-12-07 14:00:38.622000+00:00,0,4498583.20629,2023-10-17 01:23:50.860000+00:00,2024,12,2023,10
dcr,Decred,https://coin-images.coingecko.com/coins/images/329/large/decred.png?1696501665,40,689563171,128,101383840,17105446,17106580,247,-84.10545,2021-04-17 00:41:14.790000+00:00,0,9010.48037,2016-12-26 00:00:00+00:00,2021,4,2016,12
cgeth.hashkey,cgETH Hashkey Cloud,https://coin-images.coingecko.com/coins/images/54162/large/Cgeth_Hashkey.png?1738482570,3441,688012932,129,207,199929,199929,4746,-27.49273,2025-08-24 19:06:16.774000+00:00,1362,152.62162,2025-10-25 14:44:57.711000+00:00,2025,8,2025,10
usdx,Stables Labs USDX,https://coin-images.coingecko.com/coins/images/50360/large/USDX200px.png?1731906044,1,684053175,130,1379475,684569141,684569141,1,-5.5004,2024-12-06 21:42:23.559000+00:00,1,6.00128,2025-10-10 22:12:27.617000+00:00,2024,12,2025,10
usdy,Ondo US Dollar Yield,https://coin-images.coingecko.com/coins/images/31700/large/usdy_%281%29.png?1696530524,1,683655662,131,6815303,623652165,624104124,1,-13.20866,2024-03-27 05:24:08.110000+00:00,1,17.34464,2024-01-14 11:40:50.825000+00:00,2024,3,2024,1
op,Optimism,https://coin-images.coingecko.com/coins/images/25244/large/Optimism.png?1696524385,0,679573322,132,186199952,1896570907,4294967296,5,-92.62673,2024-03-06 08:35:50.817000+00:00,0,10.67036,2025-11-04 21:37:42.211000+00:00,2024,3,2025,11
tia,Celestia,https://coin-images.coingecko.com/coins/images/31967/large/tia.jpg?1696530772,1,676465664,133,128413668,834629226,1151265326,21,-96.11822,2024-02-10 14:30:02.495000+00:00,1,58.45491,2025-10-10 21:28:04.078000+00:00,2024,2,2025,10
ldo,Lido DAO,https://coin-images.coingecko.com/coins/images/13573/large/Lido_DAO.png?1696513326,1,667872378,134,113463117,895768803,1000000000,7,-89.81698,2021-08-20 08:35:20.158000+00:00,0,83.09817,2022-06-18 20:55:12.035000+00:00,2021,8,2022,6
inj,Injective,https://coin-images.coingecko.com/coins/images/12882/large/Other_200x200.png?1738782212,7,650534106,135,145877106,97727220,100000000,53,-87.37765,2024-03-14 15:06:22.124000+00:00,1,910.33681,2020-11-03 16:19:30.576000+00:00,2024,3,2020,11
stx,Stacks,https://coin-images.coingecko.com/coins/images/2069/large/Stacks_Logo_png.png?1709979332,0,639160282,136,31100648,1809133568,1809133568,4,-90.88987,2024-04-01 12:34:58.342000+00:00,0,672.08941,2020-03-13 02:29:26.415000+00:00,2024,4,2020,3
spx,SPX6900,https://coin-images.coingecko.com/coins/images/31401/large/centeredcoin_%281%29.png?1737048493,1,634750715,137,66858667,930993081,930993081,2,-69.92105,2025-07-28 11:24:33.852000+00:00,0,51717.00944,2024-02-04 19:12:19.110000+00:00,2025,7,2024,2
tbtc,tBTC,https://coin-images.coingecko.com/coins/images/11224/large/0x18084fba666a33d37592fa2633fd49a74dd93a88.png?1696511155,103540,620134166,138,41967522,5995,5995,125646,-18.64162,2025-10-06 17:18:25.106000+00:00,10104,911.68533,2020-09-23 00:00:00+00:00,2025,10,2020,9
msol,Marinade Staked SOL,https://coin-images.coingecko.com/coins/images/17752/large/mSOL.png?1696517278,212,614813980,139,33824416,2906112,2906272,364,-42.16026,2025-01-19 11:26:02.862000+00:00,9,2256.08044,2022-12-29 20:45:33.039000+00:00,2025,1,2022,12
crv,Curve DAO,https://coin-images.coingecko.com/coins/images/12124/large/Curve.png?1696511967,0,612700510,140,187481219,1421247968,2319985374,15,-97.20907,2020-08-14 00:00:00+00:00,0,137.87851,2024-08-05 11:41:26.119000+00:00,2020,8,2024,8
bdx,Beldex,https://coin-images.coingecko.com/coins/images/5111/large/Beldex.png?1696505631,0,610407270,141,10811521,7477298026,9938259045,0,-81.9128,2018-12-17 00:00:00+00:00,0,29528.87343,2019-11-01 11:05:12.090000+00:00,2018,12,2019,11
h,Humanity,https://coin-images.coingecko.com/coins/images/66811/large/H_tokenLogo_original.png?1750581252,0,606339189,142,181663809,1825000000,10000000000,0,-13.35267,2025-10-25 09:06:05.244000+00:00,0,1758.98555,2025-06-27 01:20:39.339000+00:00,2025,10,2025,6
xpl,Plasma,https://coin-images.coingecko.com/coins/images/66489/large/Plasma-symbol-green-1.png?1755142558,0,597703060,143,601797169,1888888889,10000000000,2,-81.12978,2025-09-28 01:31:40.327000+00:00,0,38.23765,2025-11-04 21:38:05.918000+00:00,2025,9,2025,11
grt,The Graph,https://coin-images.coingecko.com/coins/images/13397/large/Graph_Token.png?1696513159,0,591174515,144,35864012,10569268247,10800262816,3,-98.0371,2021-02-12 07:28:45.775000+00:00,0,20.56943,2025-10-10 21:28:00.362000+00:00,2021,2,2025,10
usdc.e,Polygon Bridged USDC (Polygon PoS),https://coin-images.coingecko.com/coins/images/33000/large/usdc_normal.png?1758615648,1,587348621,145,29831103,587524045,587524045,1,-2.72523,2024-04-14 06:50:14.967000+00:00,1,2.47723,2024-02-28 17:40:28.349000+00:00,2024,4,2024,2
liquideth,Ether.Fi Liquid ETH,https://coin-images.coingecko.com/coins/images/70219/large/liquideth.png?1761117977,3553,586549241,146,16792,165103,165103,4508,-21.44892,2025-10-27 05:30:49.462000+00:00,3277,8.05397,2025-11-04 21:40:51.518000+00:00,2025,10,2025,11
usdai,USDai,https://coin-images.coingecko.com/coins/images/55857/large/USDai_Token_Full_Glyph.png?1755229050,1,581690820,147,16787278,578688636,578688636,1,-15.52338,2025-09-04 16:12:39.608000+00:00,1,30.36151,2025-09-26 20:45:27.490000+00:00,2025,9,2025,9
weth,L2 Standard Bridged WETH (Base),https://coin-images.coingecko.com/coins/images/39810/large/weth.png?1724139790,3342,581271163,148,1046133096,174295,174295,4953,-32.43723,2025-08-24 19:25:21.091000+00:00,1394,140.0116,2025-04-09 01:31:06.248000+00:00,2025,8,2025,4
dai,Polygon PoS Bridged DAI (Polygon POS),https://coin-images.coingecko.com/coins/images/39787/large/dai.png?1724110678,1,571135340,149,60789877,571233682,571413682,1,-2.45937,2024-12-05 22:35:45.220000+00:00,1,4.46467,2024-12-05 22:30:49.634000+00:00,2024,12,2024,12
zk,ZKsync,https://coin-images.coingecko.com/coins/images/38043/large/ZKTokenBlack.png?1718614502,0,570556330,150,668716097,7231769682,21000000000,0,-75.40509,2024-06-17 07:44:40.385000+00:00,0,222.29811,2025-10-10 21:35:23.457000+00:00,2024,6,2025,10
